id,name,age,Isstudent,major,specialty,personalHistory,isInterview,introduction
1,정다은,76,0,지리학과,총무법무사무,10,1,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
2,장미정,67,0,화학공학과,의료,10,0,10년 이상의 경력을 통해 여러분을 의료 전문가로 성장시켜드리겠습니다.
3,문지훈,83,0,화학과,생산,20,1,편안한 분위기에서 멘티들을 생산 분야로 이끌어드리겠습니다.
4,문지훈,60,0,건축학과,인사노무HRD,30,1,세심함의 강점을 살려 저의 인사노무HRD 노하우를 알려드리겠습니다.
5,장미정,75,0,지리학과,운전운송배송,10,1,운전운송배송 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
6,박영희,82,0,중어중문학과,기획전략,30,0,30년 이상의 경력을 통해 여러분을 기획전략 전문가로 성장시켜드리겠습니다.
7,문지훈,71,0,통계학과,연구R&D,30,1,멘티의 성장과 목표 달성을 위해 연구R&D에서 함께 노력하겠습니다.
8,장미정,65,0,화학공학과,영업판매무역,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
9,장미정,75,0,건축학과,금융보험,10,1,10년 이상의 경력을 통해 여러분을 금융보험 전문가로 성장시켜드리겠습니다.
10,박영희,75,0,기계공학과,서비스,20,1,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
11,조현우,71,0,건축학과,서비스,10,0,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
12,박영희,84,0,건축학과,연구R&D,30,1,30년 이상의 경력을 통해 여러분을 연구R&D 전문가로 성장시켜드리겠습니다.
13,황지수,65,0,철학과,디자인,30,1,편안한 분위기에서 멘티들을 디자인 분야로 이끌어드리겠습니다.
14,장미정,79,0,수학과,디자인,20,1,디자인에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
15,박영희,62,0,사학과,건설건축,30,0,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
16,최은정,85,0,물리학과,생산,30,0,30년 이상의 경력을 통해 여러분을 생산 전문가로 성장시켜드리겠습니다.
17,박영희,65,0,화학과,영업판매무역,20,0,20년 이상의 경력을 통해 여러분을 영업판매무역 전문가로 성장시켜드리겠습니다.
18,조현우,61,0,화학과,마케팅홍보조사,20,1,마케팅홍보조사 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
19,문지훈,71,0,컴퓨터공학,총무법무사무,20,1,총무법무사무에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
20,문지훈,80,0,기계공학과,회계세무재무,10,1,회계세무재무 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
21,신동엽,67,0,화학과,마케팅홍보조사,10,0,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
22,문지훈,71,0,경영학과,디자인,20,0,세심함의 강점을 살려 저의 디자인 노하우를 알려드리겠습니다.
23,정다은,71,0,지리학과,미디어문화스포츠,20,0,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
24,최은정,68,0,경영학과,영업판매무역,30,1,세심함의 강점을 살려 저의 영업판매무역 노하우를 알려드리겠습니다.
25,이민수,76,0,영어영문학과,건설건축,20,0,20년 이상의 경력을 통해 여러분을 건설건축 전문가로 성장시켜드리겠습니다.
26,장미정,76,0,수학과,운전운송배송,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
27,황지수,64,0,건축학과,연구R&D,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
28,문지훈,76,0,경제학과,운전운송배송,30,1,멘티의 성장과 목표 달성을 위해 운전운송배송에서 함께 노력하겠습니다.
29,조현우,61,0,경제학과,인사노무HRD,30,0,멘티의 성장과 목표 달성을 위해 인사노무HRD에서 함께 노력하겠습니다.
30,김철수,70,0,경제학과,디자인,20,1,멘티의 성장과 목표 달성을 위해 디자인에서 함께 노력하겠습니다.
31,신동엽,62,0,중어중문학과,회계세무재무,30,1,멘티의 성장과 목표 달성을 위해 회계세무재무에서 함께 노력하겠습니다.
32,신동엽,69,0,건축학과,의료,10,1,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
33,장미정,62,0,지리학과,공공복지,20,0,공공복지 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
34,박영희,82,0,영어영문학과,기획전략,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
35,최은정,80,0,경제학과,운전운송배송,20,0,운전운송배송에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
36,조현우,82,0,경제학과,마케팅홍보조사,10,0,세심함의 강점을 살려 저의 마케팅홍보조사 노하우를 알려드리겠습니다.
37,박영희,85,0,컴퓨터공학,운전운송배송,20,0,멘티의 성장과 목표 달성을 위해 운전운송배송에서 함께 노력하겠습니다.
38,조현우,61,0,통계학과,기획전략,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
39,황지수,75,0,미디어커뮤니케이션학과,교육,30,1,세심함의 강점을 살려 저의 교육 노하우를 알려드리겠습니다.
40,이민수,79,0,철학과,생산,10,0,편안한 분위기에서 멘티들을 생산 분야로 이끌어드리겠습니다.
41,최은정,71,0,화학공학과,디자인,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
42,신동엽,62,0,미디어커뮤니케이션학과,마케팅홍보조사,20,0,마케팅홍보조사에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
43,이민수,62,0,물리학과,회계세무재무,30,0,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
44,문지훈,75,0,기계공학과,구매자재물류,10,1,세심함의 강점을 살려 저의 구매자재물류 노하우를 알려드리겠습니다.
45,최은정,75,0,행정학과,인사노무HRD,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
46,장미정,87,0,컴퓨터공학,회계세무재무,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
47,황지수,84,0,미디어커뮤니케이션학과,건설건축,30,1,멘티의 성장과 목표 달성을 위해 건설건축에서 함께 노력하겠습니다.
48,김철수,76,0,국어국문학과,영업판매무역,20,0,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
49,조현우,82,0,화학과,서비스,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
50,정다은,68,0,지리학과,운전운송배송,20,0,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
51,황지수,81,0,중어중문학과,의료,10,0,세심함의 강점을 살려 저의 의료 노하우를 알려드리겠습니다.
52,문지훈,87,0,미디어커뮤니케이션학과,금융보험,10,0,10년 이상의 경력을 통해 여러분을 금융보험 전문가로 성장시켜드리겠습니다.
53,문지훈,60,0,지리학과,운전운송배송,10,1,멘티의 성장과 목표 달성을 위해 운전운송배송에서 함께 노력하겠습니다.
54,장미정,66,0,물리학과,회계세무재무,10,1,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
55,문지훈,78,0,전기전자공학,미디어문화스포츠,20,1,편안한 분위기에서 멘티들을 미디어문화스포츠 분야로 이끌어드리겠습니다.
56,문지훈,63,0,전기전자공학,연구R&D,10,1,세심함의 강점을 살려 저의 연구R&D 노하우를 알려드리겠습니다.
57,김철수,69,0,경영학과,금융보험,30,1,멘티의 성장과 목표 달성을 위해 금융보험에서 함께 노력하겠습니다.
58,조현우,78,0,수학과,운전운송배송,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
59,정다은,81,0,행정학과,교육,10,0,멘티의 성장과 목표 달성을 위해 교육에서 함께 노력하겠습니다.
60,김철수,79,0,통계학과,생산,20,1,다양한 경험과 20년의 경력을 통해 멘티 여러분을 지원하겠습니다.
61,문지훈,64,0,정치외교학과,상품기획MD,20,1,상품기획MD 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
62,조현우,72,0,컴퓨터공학,기획전략,10,1,10년 이상의 경력을 통해 여러분을 기획전략 전문가로 성장시켜드리겠습니다.
63,신동엽,82,0,미디어커뮤니케이션학과,총무법무사무,10,1,편안한 분위기에서 멘티들을 총무법무사무 분야로 이끌어드리겠습니다.
64,문지훈,87,0,정치외교학과,상품기획MD,20,1,상품기획MD 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
65,이민수,61,0,수학과,IT개발데이터,20,0,세심함의 강점을 살려 저의 IT개발데이터 노하우를 알려드리겠습니다.
66,이민수,66,0,영어영문학과,회계세무재무,20,0,멘티의 성장과 목표 달성을 위해 회계세무재무에서 함께 노력하겠습니다.
67,김철수,74,0,건축학과,의료,30,0,멘티의 성장과 목표 달성을 위해 의료에서 함께 노력하겠습니다.
68,황지수,74,0,중어중문학과,영업판매무역,10,0,10년 이상의 경력을 통해 여러분을 영업판매무역 전문가로 성장시켜드리겠습니다.
69,황지수,72,0,전기전자공학,총무법무사무,30,0,30년 이상의 경력을 통해 여러분을 총무법무사무 전문가로 성장시켜드리겠습니다.
70,황지수,69,0,기계공학과,영업판매무역,10,0,10년 이상의 경력을 통해 여러분을 영업판매무역 전문가로 성장시켜드리겠습니다.
71,정다은,87,0,정치외교학과,기획전략,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
72,조현우,86,0,물리학과,생산,10,1,생산 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
73,정다은,85,0,전기전자공학,회계세무재무,30,1,회계세무재무에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
74,문지훈,74,0,중어중문학과,IT개발데이터,10,0,편안한 분위기에서 멘티들을 IT개발데이터 분야로 이끌어드리겠습니다.
75,최은정,70,0,경제학과,구매자재물류,10,1,세심함의 강점을 살려 저의 구매자재물류 노하우를 알려드리겠습니다.
76,조현우,82,0,통계학과,총무법무사무,30,1,세심함의 강점을 살려 저의 총무법무사무 노하우를 알려드리겠습니다.
77,장미정,61,0,경제학과,금융보험,10,1,금융보험에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
78,김철수,70,0,미디어커뮤니케이션학과,고객상담TM,30,1,30년 이상의 경력을 통해 여러분을 고객상담TM 전문가로 성장시켜드리겠습니다.
79,조현우,63,0,화학과,IT개발데이터,10,1,10년 이상의 경력을 통해 여러분을 IT개발데이터 전문가로 성장시켜드리겠습니다.
80,신동엽,66,0,중어중문학과,총무법무사무,30,0,세심함의 강점을 살려 저의 총무법무사무 노하우를 알려드리겠습니다.
81,황지수,81,0,지리학과,총무법무사무,30,1,총무법무사무 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
82,정다은,86,0,미디어커뮤니케이션학과,생산,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
83,조현우,63,0,전기전자공학,마케팅홍보조사,30,0,편안한 분위기에서 멘티들을 마케팅홍보조사 분야로 이끌어드리겠습니다.
84,최은정,74,0,철학과,공공복지,10,1,10년 이상의 경력을 통해 여러분을 공공복지 전문가로 성장시켜드리겠습니다.
85,최은정,78,0,물리학과,의료,20,1,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
86,신동엽,63,0,화학공학과,구매자재물류,20,1,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
87,김철수,78,0,경영학과,인사노무HRD,10,1,10년 이상의 경력을 통해 여러분을 인사노무HRD 전문가로 성장시켜드리겠습니다.
88,문지훈,70,0,미디어커뮤니케이션학과,생산,10,1,세심함의 강점을 살려 저의 생산 노하우를 알려드리겠습니다.
89,이민수,71,0,미디어커뮤니케이션학과,마케팅홍보조사,30,1,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
90,조현우,68,0,건축학과,총무법무사무,10,1,세심함의 강점을 살려 저의 총무법무사무 노하우를 알려드리겠습니다.
91,이민수,66,0,정치외교학과,연구R&D,20,0,멘티의 성장과 목표 달성을 위해 연구R&D에서 함께 노력하겠습니다.
92,문지훈,79,0,정치외교학과,미디어문화스포츠,10,0,멘티의 성장과 목표 달성을 위해 미디어문화스포츠에서 함께 노력하겠습니다.
93,황지수,72,0,화학과,IT개발데이터,20,1,멘티의 성장과 목표 달성을 위해 IT개발데이터에서 함께 노력하겠습니다.
94,최은정,72,0,국어국문학과,공공복지,30,1,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
95,장미정,68,0,화학공학과,디자인,20,0,세심함의 강점을 살려 저의 디자인 노하우를 알려드리겠습니다.
96,문지훈,79,0,전기전자공학,건설건축,20,0,20년 이상의 경력을 통해 여러분을 건설건축 전문가로 성장시켜드리겠습니다.
97,김철수,77,0,경제학과,디자인,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
98,장미정,62,0,화학과,영업판매무역,10,1,멘티의 성장과 목표 달성을 위해 영업판매무역에서 함께 노력하겠습니다.
99,황지수,73,0,사학과,교육,30,1,세심함의 강점을 살려 저의 교육 노하우를 알려드리겠습니다.
100,황지수,76,0,정치외교학과,구매자재물류,20,1,세심함의 강점을 살려 저의 구매자재물류 노하우를 알려드리겠습니다.
101,문지훈,83,0,영어영문학과,인사노무HRD,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
102,김철수,71,0,영어영문학과,서비스,20,1,세심함의 강점을 살려 저의 서비스 노하우를 알려드리겠습니다.
103,정다은,85,0,사학과,총무법무사무,30,1,총무법무사무 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
104,최은정,85,0,행정학과,인사노무HRD,10,1,인사노무HRD 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
105,황지수,71,0,국어국문학과,건설건축,20,1,편안한 분위기에서 멘티들을 건설건축 분야로 이끌어드리겠습니다.
106,박영희,83,0,물리학과,공공복지,30,0,공공복지에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
107,문지훈,66,0,기계공학과,총무법무사무,20,1,다양한 경험과 20년의 경력을 통해 멘티 여러분을 지원하겠습니다.
108,최은정,72,0,미디어커뮤니케이션학과,공공복지,30,1,편안한 분위기에서 멘티들을 공공복지 분야로 이끌어드리겠습니다.
109,박영희,65,0,철학과,상품기획MD,10,0,세심함의 강점을 살려 저의 상품기획MD 노하우를 알려드리겠습니다.
110,조현우,85,0,철학과,영업판매무역,10,1,세심함의 강점을 살려 저의 영업판매무역 노하우를 알려드리겠습니다.
111,정다은,70,0,철학과,서비스,10,1,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
112,김철수,76,0,국어국문학과,상품기획MD,20,0,멘티의 성장과 목표 달성을 위해 상품기획MD에서 함께 노력하겠습니다.
113,최은정,82,0,기계공학과,의료,30,1,멘티의 성장과 목표 달성을 위해 의료에서 함께 노력하겠습니다.
114,김철수,84,0,통계학과,운전운송배송,20,0,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
115,신동엽,79,0,행정학과,생산,10,1,멘티의 성장과 목표 달성을 위해 생산에서 함께 노력하겠습니다.
116,신동엽,78,0,사학과,건설건축,10,0,멘티의 성장과 목표 달성을 위해 건설건축에서 함께 노력하겠습니다.
117,문지훈,75,0,기계공학과,운전운송배송,10,0,운전운송배송에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
118,정다은,86,0,건축학과,서비스,20,0,20년 이상의 경력을 통해 여러분을 서비스 전문가로 성장시켜드리겠습니다.
119,이민수,74,0,전기전자공학,마케팅홍보조사,20,0,세심함의 강점을 살려 저의 마케팅홍보조사 노하우를 알려드리겠습니다.
120,최은정,64,0,미디어커뮤니케이션학과,공공복지,10,1,공공복지 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
121,정다은,85,0,경영학과,고객상담TM,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
122,김철수,68,0,국어국문학과,총무법무사무,30,0,세심함의 강점을 살려 저의 총무법무사무 노하우를 알려드리겠습니다.
123,신동엽,82,0,국어국문학과,고객상담TM,10,0,고객상담TM 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
124,박영희,83,0,전기전자공학,마케팅홍보조사,10,0,마케팅홍보조사 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
